dat_chave,cod_tip_movimento,cod_canal_movimento,qtd_venda
2021-01-01,V,1,41
2021-01-01,V,14,186
2021-01-01,V,27,2
2021-01-01,V,12,5
2021-01-01,V,32,4
2021-01-01,V,7,61
2021-01-02,V,28,73
2021-01-02,V,27,3
2021-01-02,V,32,2
2021-01-02,V,12,8
2021-01-02,V,0,2682
2021-01-02,V,1,90
2021-01-02,V,14,260
2021-01-02,V,7,117
2021-01-02,V,36,1
2021-01-03,V,32,12
2021-01-03,V,7,117
2021-01-03,V,1,74
2021-01-03,V,12,3
2021-01-03,V,27,3
2021-01-03,V,14,231
2021-01-03,V,28,8
2021-01-03,V,0,363
2021-01-04,V,7,152
2021-01-04,V,0,2690
2021-01-04,V,1,194
2021-01-04,V,28,124
2021-01-04,V,14,374
2021-01-04,V,32,13
2021-01-04,V,12,3
2021-01-04,V,27,7
2021-01-05,V,1,208
2021-01-05,V,0,2617
2021-01-05,V,28,112
2021-01-05,V,32,13
2021-01-05,V,7,160
2021-01-05,V,27,2
2021-01-05,V,14,382
2021-01-05,V,12,12
2021-01-06,V,7,156
2021-01-06,V,12,10
2021-01-06,V,32,5
2021-01-06,V,0,2656
2021-01-06,V,28,133
2021-01-06,V,1,187
2021-01-06,V,14,378
2021-01-07,V,28,145
2021-01-07,V,32,8
2021-01-07,V,1,218
2021-01-07,V,34,1
2021-01-07,V,0,2788
2021-01-07,V,7,199
2021-01-07,V,12,11
2021-01-07,V,14,446
2021-01-08,V,28,135
2021-01-08,V,1,205
2021-01-08,V,0,2929
2021-01-08,V,4,1
2021-01-08,V,26,1
2021-01-08,V,12,9
2021-01-08,V,36,1
2021-01-08,V,7,151
2021-01-08,V,32,7
2021-01-08,V,14,473
2021-01-09,V,7,175
2021-01-09,V,1,110
2021-01-09,V,14,348
2021-01-09,V,0,4243
2021-01-09,V,32,11
2021-01-09,V,12,15
2021-01-09,V,28,200
2021-01-10,V,14,333
2021-01-10,V,26,1
2021-01-10,V,32,41
2021-01-10,V,0,745
2021-01-10,V,7,150
2021-01-10,V,1,105
2021-01-10,V,28,43
2021-01-10,V,12,10
2021-01-11,V,12,16
2021-01-11,V,14,479
2021-01-11,V,28,134
2021-01-11,V,32,24
2021-01-11,V,1,255
2021-01-11,V,7,180
2021-01-11,V,36,1
2021-01-11,V,0,2423
2021-01-12,V,14,545
2021-01-12,V,28,146
2021-01-12,V,12,10
2021-01-12,V,1,326
2021-01-12,V,32,23
2021-01-12,V,0,2360
2021-01-12,V,7,213
2021-01-13,V,32,17
2021-01-13,V,0,2486
2021-01-13,V,1,266
2021-01-13,V,12,12
2021-01-13,V,28,132
2021-01-13,V,14,492
2021-01-13,V,7,208
2021-01-14,V,32,12
2021-01-14,V,28,134
2021-01-14,V,1,290
2021-01-14,V,14,531
2021-01-14,V,0,2380
2021-01-14,V,12,8
2021-01-14,V,7,241
2021-01-15,V,14,498
2021-01-15,V,28,137
2021-01-15,V,7,228
2021-01-15,V,4,1
2021-01-15,V,1,214
2021-01-15,V,0,2471
2021-01-15,V,12,6
2021-01-15,V,32,20
2021-01-16,V,28,184
2021-01-16,V,0,3686
2021-01-16,V,32,29
2021-01-16,V,14,377
2021-01-16,V,1,129
2021-01-16,V,7,184
2021-01-16,V,12,9
2021-01-17,V,1,100
2021-01-17,V,12,8
2021-01-17,V,14,385
2021-01-17,V,32,15
2021-01-17,V,28,33
2021-01-17,V,0,642
2021-01-17,V,7,191
2021-01-18,V,12,12
2021-01-18,V,4,2
2021-01-18,V,7,267
2021-01-18,V,32,12
2021-01-18,V,0,2117
2021-01-18,V,28,123
2021-01-18,V,14,554
2021-01-18,V,1,294
2021-01-19,V,1,249
2021-01-19,V,32,9
2021-01-19,V,12,15
2021-01-19,V,28,109
2021-01-19,V,0,2142
2021-01-19,V,7,193
2021-01-19,V,14,497
2021-01-20,V,28,80
2021-01-20,V,0,1976
2021-01-20,V,12,7
2021-01-20,V,7,219
2021-01-20,V,14,542
2021-01-20,V,1,273
2021-01-20,V,32,6
2021-01-21,V,4,1
2021-01-21,V,7,240
2021-01-21,V,1,273
2021-01-21,V,28,87
2021-01-21,V,12,13
2021-01-21,V,0,2023
2021-01-21,V,32,4
2021-01-21,V,14,483
2021-01-22,V,14,596
2021-01-22,V,32,9
2021-01-22,V,12,14
2021-01-22,V,35,1
2021-01-22,V,7,262
2021-01-22,V,1,296
2021-01-22,V,28,115
2021-01-22,V,0,2139
2021-01-23,V,12,17
2021-01-23,V,28,187
2021-01-23,V,1,142
2021-01-23,V,14,342
2021-01-23,V,7,160
2021-01-23,V,32,5
2021-01-23,V,0,3218
2021-01-24,V,32,7
2021-01-24,V,7,199
2021-01-24,V,12,4
2021-01-24,V,28,38
2021-01-24,V,0,642
2021-01-24,V,14,343
2021-01-24,V,1,104
2021-01-25,V,7,234
2021-01-25,V,28,105
